Country, GDP(billion USD)
Afghanistan,no data
Albania,16.77
Algeria,163.812
Andorra,3.213
Angola,70.339
Antigua and Barbuda,1.405
Argentina,455.172
Armenia,13.612
Aruba,2.865
Australia,1610.556
Austria,481.209
Azerbaijan,52.645
"Bahamas, The",10.681
Bahrain,39.104
Bangladesh,355.689
Barbados,4.648
Belarus,65.754
Belgium,581.848
Belize,1.909
Benin,18.067
Bhutan,2.48
Bolivia,38.547
Bosnia and Herzegovina,21.692
Botswana,17.605
Brazil,1645.837
Brunei Darussalam,15.686
Bulgaria,77.907
Burkina Faso,19.932
Burundi,3.193
Cabo Verde,1.886
Cambodia,26.08
Cameroon,44.806
Canada,2015.983
Central African Republic,2.587
Chad,12.345
Chile,331.25
"China, People's Republic of",16862.98
Colombia,300.791
Comoros,1.281
"Congo, Dem. Rep. of the",54.832
"Congo, Republic of",12.744
Costa Rica,61.46
Croatia,63.399
Cyprus,26.546
Czech Republic,276.914
Côte d'Ivoire,68.845
Denmark,396.666
Djibouti,3.654
Dominica,0.571
Dominican Republic,89.502
Ecuador,104.483
Egypt,396.328
El Salvador,27.665
Equatorial Guinea,12.528
Eritrea,2.254
Estonia,36.039
Eswatini,4.517
Ethiopia,92.757
Fiji,4.639
Finland,296.016
France,2940.428
Gabon,18.293
"Gambia, The",2.042
Georgia,17.846
Germany,4230.172
Ghana,75.487
Greece,211.645
Grenada,1.083
Guatemala,83.305
Guinea,16.724
Guinea-Bissau,1.592
Guyana,7.395
Haiti,20.143
Honduras,26.325
Hong Kong SAR,369.722
Hungary,180.959
Iceland,25.476
India,2946.061
Indonesia,1150.245
Iran,1081.383
Iraq,201.472
Ireland,516.253
Israel,467.532
Italy,2120.232
Jamaica,14.857
Japan,5103.11
Jordan,45.344
Kazakhstan,194.024
Kenya,109.491
Kiribati,0.232
"Korea, Republic of",1823.852
Kosovo,8.958
Kuwait,132.266
Kyrgyz Republic,8.15
Lao P.D.R.,19.375
Latvia,37.199
Lebanon,no data
Lesotho,2.478
Liberia,3.384
Libya,27.3
Lithuania,62.635
Luxembourg,83.771
Macao SAR,29.223
Madagascar,14.101
Malawi,12.15
Malaysia,371.114
Maldives,4.573
Mali,19.563
Malta,16.695
Marshall Islands,0.241
Mauritania,9.164
Mauritius,10.998
Mexico,1285.518
"Micronesia, Fed. States of",0.404
Moldova,12.396
Mongolia,14.28
Montenegro,5.494
Morocco,126.035
Mozambique,15.833
Myanmar,66.74
Namibia,12.213
Nauru,0.133
Nepal,34.265
Netherlands,1007.562
New Zealand,247.64
Nicaragua,13.397
Niger,15.637
Nigeria,480.482
North Macedonia,13.885
Norway,445.507
Oman,80.611
Pakistan,no data
Palau,0.208
Panama,60.121
Papua New Guinea,26.461
Paraguay,36.973
Peru,225.858
Philippines,385.737
Poland,655.332
Portugal,251.709
Puerto Rico,106.576
Qatar,169.184
Romania,287.279
Russian Federation,1647.568
Rwanda,10.395
Saint Kitts and Nevis,0.976
Saint Lucia,1.715
Saint Vincent and the Grenadines,0.769
Samoa,0.78
San Marino,1.728
Saudi Arabia,842.588
Senegal,27.576
Serbia,60.669
Seychelles,1.288
Sierra Leone,4.407
Singapore,378.645
Slovak Republic,116.748
Slovenia,60.89
Solomon Islands,1.649
Somalia,5.424
South Africa,415.315
"South Sudan, Republic of",3.263
Spain,1439.958
Sri Lanka,80.785
Sudan,35.919
Suriname,2.817
Sweden,622.365
Switzerland,810.83
Syria,no data
São Tomé and Príncipe,0.534
Taiwan Province of China,785.589
Tajikistan,8.104
Tanzania,69.238
Thailand,546.223
Timor-Leste,1.697
Togo,8.493
Tonga,0.501
Trinidad and Tobago,21.599
Tunisia,42.733
Turkey,795.952
Turkmenistan,53.087
Tuvalu,0.065
Uganda,43.243
Ukraine,181.038
United Arab Emirates,410.158
United Kingdom,3108.416
United States,22939.58
Uruguay,60.108
Uzbekistan,65.503
Vanuatu,0.999
Venezuela,44.893
Vietnam,368.002
West Bank and Gaza,17.343
Yemen,19.471
Zambia,21.699
Zimbabwe,25.791
Africa (Region),2687.173
Asia and Pacific,35134.63
Australia and New Zealand,1858.196
Caribbean,93.434
Central America,361.775
Central Asia and the Caucasus,1229.249
East Asia,24959.53
Eastern Europe,3880.569
Europe,23498.81
Middle East (Region),3523.065
North Africa,756.208
North America,26347.66
Pacific Islands,35.262
South America,3243.911
South Asia,3722.847
Southeast Asia,3329.543
Sub-Saharan Africa (Region),1930.965
Western Europe,19618.25
Western Hemisphere (Region),30046.78
ASEAN-5,2821.32
Advanced economies,56086.68
Emerging and Developing Asia,23288.32
Emerging and Developing Europe,4095.052
Emerging market and developing economies,38848.44
Euro area,14518.47
European Union,17078.38
Latin America and the Caribbean,4984.638
Major advanced economies (G7),42457.92
Middle East and Central Asia,4598.192
Other advanced economies,8402.036
Sub-Saharan Africa,1882.229
World,94935.11
