country,homicideRatePer1000People
San Marino,0
Liechtenstein,0
Monaco,0
Saint Kitts and Nevis,
Andorra,0
Isle of Man,0
Saint Vincent and the Grenadines,
Bahamas,
United States Virgin Islands,49.2625
Eswatini,
Palestine,
El Salvador,82.8423
Honduras,56.5157
Venezuela,56.3333
Jamaica,47.0111
Lesotho,41.2481
Belize,37.5992
South Africa,33.9710
Trinidad and Tobago,30.8803
Brazil,29.5280
Guatemala,27.2550
Colombia,25.5043
Central African Republic,19.7574
Saint Lucia,19.2721
Mexico,19.2640
Curacao,19.1885
Tuvalu,18.6480
Puerto Rico,18.5059
Guyana,18.3708
Namibia,17.1383
Dominican Republic,15.1817
Botswana,15.0382
South Sudan,13.9024
DR Congo,13.5464
Bermuda,12.9601
Seychelles,12.7369
Costa Rica,11.9050
Ivory Coast,11.6305
Uganda,11.5185
Cape Verde,11.4858
Philippines,11.0198
Barbados,10.9072
Mali,10.9032
Russia,10.8162
Antigua and Barbuda,10.3330
Grenada,10.2493
Haiti,10.0396
Mauritania,9.9417
Iraq,9.8545
Nigeria,9.8483
Panama,9.6696
Guinea-Bissau,9.5499
Republic of the Congo,9.3225
Paraguay,9.2934
Gambia,9.1285
Chad,9.0403
Togo,8.9999
Guinea,8.8246
Cayman Islands,8.4499
British Virgin Islands,8.3665
Dominica,8.3661
Suriname,8.3471
Eritrea,8.0442
Gabon,8.0428
Papua New Guinea,7.8456
Comoros,7.7032
Uruguay,7.6943
Madagascar,7.6868
Peru,7.6660
Ethiopia,7.5616
Kiribati,7.5038
Senegal,7.3756
Nicaragua,7.3671
Laos,7.0100
Tanzania,6.9525
Zimbabwe,6.6686
Yemen,6.6585
Djibouti,6.4847
Afghanistan,6.3459
Ukraine,6.3386
Bolivia,6.3002
Benin,6.1828
Burundi,6.0205
Argentina,5.9426
Turks and Caicos Islands,5.9279
Ecuador,5.8538
Mongolia,5.6559
American Samoa,5.3971
United States,5.3533
Greenland,5.3137
Zambia,5.2979
Lithuania,5.2469
Sudan,5.1645
Cuba,4.9877
Kenya,4.8734
Angola,4.8493
Kazakhstan,4.8057
Micronesia,4.6746
Kyrgyzstan,4.4854
Montenegro,4.4556
Niger,4.4440
Pakistan,4.4084
North Korea,4.3958
Turkey,4.3127
Somalia,4.3085
Turkmenistan,4.2203
Cameroon,4.1741
Lebanon,3.9931
Timor-Leste,3.9485
Solomon Islands,3.7663
Belarus,3.5847
Chile,3.4628
Mozambique,3.4043
Latvia,3.3623
Sao Tome and Principe,3.3557
Thailand,3.2394
New Caledonia,3.2335
Liberia,3.2285
India,3.2237
Moldova,3.1942
Estonia,3.1931
Samoa,3.1454
Palau,3.1124
Tunisia,3.0496
Gibraltar,3.0130
Uzbekistan,2.9983
Armenia,2.9781
Albania,2.6989
Sri Lanka,2.5495
Rwanda,2.5194
Egypt,2.5133
Guam,2.5050
Libya,2.5039
Bangladesh,2.5031
Iran,2.4690
Equatorial Guinea,2.3052
Myanmar,2.2653
Fiji,2.2578
syria,2.2028
Nepal,2.1638
Azerbaijan,2.1413
Vanuatu,2.1289
Malaysia,2.1106
Hungary,2.0715
Belgium,1.9490
Aruba,1.9269
Cambodia,1.8435
Mauritius,1.8219
Kuwait,1.7965
Malawi,1.7332
Sierra Leone,1.7134
Canada,1.6841
Ghana,1.6838
Tajikistan,1.6121
Jordan,1.5476
Vietnam,1.5184
Saudi Arabia,1.4957
Finland,1.4178
Serbia,1.3943
Israel,1.3640
Algeria,1.3594
France,1.3522
Bosnia and Herzegovina,1.2754
Romania,1.2488
Morocco,1.2384
United Kingdom,1.2024
Germany,1.1762
Bulgaria,1.1360
Bhutan,1.1293
Cyprus,1.1109
Sweden,1.0778
Slovakia,1.0475
Croatia,1.0446
Georgia,0.9896
New Zealand,0.9854
Denmark,0.9807
Tonga,0.9528
Australia,0.9412
Malta,0.9354
United Arab Emirates,0.8938
Ireland,0.8021
Maldives,0.7549
Greece,0.7504
Luxembourg,0.7190
South Korea,0.7011
Italy,0.6731
Poland,0.6701
Oman,0.6564
Austria,0.6552
Portugal,0.6359
Spain,0.6335
China,0.6156
Czech Republic,0.6126
Netherlands,0.5534
Switzerland,0.5364
Bahrain,0.5238
Norway,0.5143
Indonesia,0.4951
Brunei,0.4930
Slovenia,0.4816
Hong Kong,0.3832
Qatar,0.3790
French Polynesia,0.3765
Burkina Faso,0.3699
Singapore,0.3206
Iceland,0.3004
Japan,0.2835
Macau,0.1636
Nauru,0
