Country name,Life expectancy
Finland,72.000
Denmark,72.700
Switzerland,74.400
Iceland,73.000
Netherlands,72.400
Norway,73.300
Sweden,72.700
Luxembourg,72.600
New Zealand,73.400
Austria,73.300
Australia,73.900
Israel,73.503
Germany,72.500
Canada,73.800
Ireland,72.400
Costa Rica,71.400
United Kingdom,72.500
Czech Republic,70.807
United States,68.200
Belgium,72.199
France,74.000
Bahrain,69.495
Malta,72.200
Taiwan Province of China,69.600
United Arab Emirates,67.333
Saudi Arabia,66.603
Spain,74.700
Italy,73.800
Slovenia,71.400
Guatemala,64.958
Uruguay,69.100
Singapore,76.953
Kosovo,63.813
Slovakia,69.201
Brazil,66.601
Mexico,68.597
Jamaica,67.500
Lithuania,67.906
Cyprus,73.898
Estonia,68.800
Panama,69.652
Uzbekistan,65.255
Chile,70.000
Poland,69.702
Kazakhstan,65.200
Romania,67.355
Kuwait,66.900
Serbia,68.600
El Salvador,66.402
Mauritius,66.701
Latvia,67.100
Colombia,68.001
Hungary,68.000
Thailand,67.401
Nicaragua,67.657
Japan,75.100
Argentina,69.000
Portugal,72.600
Honduras,67.300
Croatia,70.799
Philippines,62.000
South Korea,73.900
Peru,68.250
Bosnia and Herzegovina,68.098
Moldova,65.699
Ecuador,68.800
Kyrgyzstan,64.401
Greece,72.600
Bolivia,63.901
Mongolia,62.500
Paraguay,65.900
Montenegro,68.699
Dominican Republic,66.102
North Cyprus,73.898
Belarus,66.253
Russia,64.703
Hong Kong S.A.R. of China,76.820
Tajikistan,64.281
Vietnam,68.034
Libya,62.300
Malaysia,67.102
Indonesia,62.236
Congo (Brazzaville),58.221
China,69.593
Ivory Coast,50.114
Armenia,67.055
Nepal,64.233
Bulgaria,67.000
Maldives,70.600
Azerbaijan,65.656
Cameroon,53.515
Senegal,59.802
Albania,68.999
North Macedonia,65.474
Ghana,57.586
Niger,53.780
Turkmenistan,62.409
Gambia,55.160
Benin,54.713
Laos,58.968
Bangladesh,64.800
Guinea,55.008
South Africa,56.904
Turkey,67.199
Pakistan,58.709
Morocco,66.208
Venezuela,66.700
Georgia,64.300
Algeria,66.005
Ukraine,64.902
Iraq,60.583
Gabon,59.962
Burkina Faso,54.151
Cambodia,62.000
Mozambique,54.706
Nigeria,50.102
Mali,51.969
Iran,66.300
Uganda,56.101
Liberia,56.498
Kenya,60.704
Tunisia,67.201
Lebanon,67.355
Namibia,56.799
Palestinian Territories,62.250
Myanmar,59.302
Jordan,67.000
Chad,48.478
Sri Lanka,67.299
Swaziland,50.833
Comoros,57.349
Egypt,61.998
Ethiopia,59.000
Mauritania,57.161
Madagascar,59.305
Togo,54.914
Zambia,55.809
Sierra Leone,51.651
India,60.633
Burundi,53.400
Yemen,57.122
Tanzania,57.999
Haiti,55.700
Malawi,57.948
Lesotho,48.700
Botswana,59.269
Rwanda,61.400
Zimbabwe,56.201
Afghanistan,52.493
