Country/Territory,Recreational,Medical,Notes
Afghanistan,Illegal,Illegal,Main article: Cannabis in Afghanistan Production banned by King Zahir Shah in 1973.[9]
Albania,Illegal,Illegal,Main article: Cannabis in Albania Prohibited but plants highly available throughout the country and law often unenforced.[10][11][12]
Algeria,Illegal,Illegal,Main article: Cannabis in Algeria
Andorra,Illegal,Illegal,Main article: Cannabis in Andorra
Angola,Illegal,Illegal,Main article: Cannabis in Angola
Antigua and Barbuda,Decriminalized,Illegal,Main article: Cannabis in Antigua and Barbuda
Argentina,Decriminalized,Legal,"Main article: Cannabis in Argentina Decriminalized for small amounts and private consumption, as ruled by the Supreme Court in 2009.[13] Medicinal cannabis legal nationally since 21 September 2017.[14]"
Armenia,Illegal,Illegal,Main article: Cannabis in Armenia
Australia,Decriminalized in Northern Territory and South Australia.[15][16] Legal in Australian Capital Territory for personal use but not for sale.,Legal at federal level and in all states.[17] Qualifying conditions and other details vary by state.[18],"Main article: Cannabis in Australia In September 2019, the Australian Capital Territory became the first state or territory of Australia to legalize recreational use of cannabis. Since 31 January 2020 residents have been allowed to grow two plants and possess 50 g, though sales or other transfer is prohibited, including cannabis seeds. Federal law also remains enforceable.[19]"
Austria,Possession for personal use decriminalized as of January 2016.,"Dronabinol, Sativex, Nabilone[20]",Main article: Cannabis in Austria
Azerbaijan,Illegal,Illegal,Main article: Cannabis in Azerbaijan
Bahamas,Illegal,Illegal,Main article: Cannabis in the Bahamas
Bahrain,Illegal,Illegal,Main article: Cannabis in Bahrain
Bangladesh,Illegal but often unenforced,Illegal,"Main article: Cannabis in Bangladesh Sale banned in 1989,[21] but laws are rarely enforced and cannabis is openly sold in many parts of the country.[22][23]"
Barbados,Legal for spiritual use by registered Rastafarians[24],Legal[25],Main article: Cannabis in Barbados
Belarus,Illegal,Illegal,Main article: Cannabis in Belarus
Belgium,Decriminalized up to 3 g or cultivation of one plant,Sativex[26],Main article: Cannabis in Belgium Up to 3 g decriminalized for adults since 2003.[27][28]
Belize,Decriminalized up to 10 g,Illegal,"Main article: Cannabis in Belize Possession prohibited, but use is common and largely tolerated.[29] Laws decriminalizing possession of up to 10 g ""in the works"".[30]"
Benin,Illegal,Illegal,Main article: Cannabis in Benin
Bermuda,Decriminalized up to 7 g,Legal,"Main article: Cannabis in Bermuda In November 2016, the Supreme Court of Bermuda ruled in favor of allowing the medical use of cannabis.[31] As of July 2018, two doctors have been licensed to prescribe the drug.[32]"
Bhutan,Illegal,Illegal,"Main article: Cannabis in Bhutan Illegal, but plants grow prolifically and have multiple traditional uses, such as feeding pigs and producing textiles.[33]"
Bolivia,Decriminalized up to 50 g,Illegal,Main article: Cannabis in Bolivia
Bosnia and Herzegovina,Illegal,Illegal,"Main article: Cannabis in Bosnia and Herzegovina In 2016, the Ministry of Civil Affairs formed a task force to explore the legalization of cannabis and cannabinoids for medicinal purposes.[34]"
Botswana,Illegal,Illegal,Main article: Cannabis in Botswana Cannabis (or dagga) is illegal.[35]
Brazil,Illegal,Legal for terminally ill patients or those who have exhausted other treatment options.[36][37],"Main article: Cannabis in Brazil Legislation passed in 2006 to require treatment and community service for possessing small amounts of drugs instead of jail time.[38] Possession of large amounts, as well as sale, transportation, and cultivation, are considered drug trafficking.[39]"
Brunei,Illegal,Illegal,Main article: Cannabis in Brunei
Country/Territory,Recreational,Medical,Notes
Bulgaria,Illegal,Illegal,"Main article: Cannabis in Bulgaria Cannabis is classified as a class A (High-risk) drug, together with heroin, cocaine, amphetamines, and MDMA (ecstasy). Until 2004, a loosely defined ""personal dose"" existed.[40]"
Burkina Faso,Illegal,Illegal,Main article: Cannabis in Burkina Faso
Burundi,Illegal,Illegal,Main article: Cannabis in Burundi
Cambodia,Illegal but often unenforced,Illegal,"Main article: Cannabis in Cambodia Illegal,[41] but this prohibition is lax and enforced opportunistically.[42][43][44] ""Happy"" restaurants in cities publicly offer food cooked with marijuana, or as a side garnish.[45]"
Cameroon,Illegal,Illegal,Main article: Cannabis in Cameroon
Canada,Legal,Legal,"Main articles: Cannabis in Canada and Cannabis laws of Canada by province or territory Legal for medicinal purposes since 2001 and for recreational purposes since 17 October 2018. The age to buy or consume cannabis is 19 in most of the country, with the exceptions being Alberta (age 18) and Quebec (age 21).[46]"
Cape Verde,Illegal,Illegal,Main article: Cannabis in Cape Verde
Central African Republic,Illegal,Illegal,Main article: Cannabis in the Central African Republic
Chad,Illegal,Illegal,Main article: Cannabis in Chad
Chile,Decriminalized for possession and cultivation,Legal,Main article: Cannabis in Chile Private personal use[47] and recreational cultivation[48][49][50] decriminalized. Medicinal cultivation legal with the authorization of The Chilean Agriculture Service (SAG)[51] and sale of medication allowed on prescription in pharmacies.[52]
People's Republic of China (PRC),Illegal,Illegal,Main article: Cannabis in China Penalty for possession or consumption: 10–15 days' detention without prosecution and a fine.[53]
Colombia,Decriminalized up to 22 g or cultivation of 20 plants for personal use,Legal,"Main article: Cannabis in Colombia Decriminalized up to 22 g for personal consumption. Individuals carrying greater amounts, or cultivating up to 20 plants, cannot be prosecuted if the drug is for personal use.[54][55][56][57]"
