State,firearmDeathRate,firearmDeaths,homicideRate
Alabama,22.2,1076,12.8
Alaska,24.4,179,10.8
Arizona,15.1,1136,5.9
Arkansas,19.3,580,9.4
California,7.2,2945,4.5
Colorado,14.2,846,4.3
Connecticut,5.3,190,3.1
Delaware,9.9,93,6.1
Florida,12.7,2872,6.7
Georgia,15.8,1695,8.1
Hawaii,4.4,62,2.5
Idaho,14.2,255,1.7
Illinois,10.8,1367,8.1
Indiana,14.1,958,7.2
Iowa,9.1,294,2.7
Kansas,13.7,403,4.9
Kentucky,14.9,682,5.9
Louisiana,22.1,1013,14.7
Maine,11.5,163,1.8
Maryland,12.6,757,10
Massachusetts,3.4,247,2.3
Michigan,12.1,1220,6.5
Minnesota,8.1,465,2.8
Mississippi,24.2,710,15.4
Missouri,20.6,1252,10.8
Montana,19,209,3.7
Nebraska,10.4,205,3.1
Nevada,15.3,490,5.5
NewHampshire,10.7,156,2.8
NewJersey,4.1,368,3.4
NewMexico,22.3,471,11.8
NewYork,3.9,804,3.2
NorthCarolina,13.1,1397,7
NorthDakota,12.4,93,3.1
Ohio,13.3,1578,6.6
Oklahoma,18.6,737,8.8
Oregon,12.6,566,3
Pennsylvania,11.7,1541,6.1
RhodeIsland,4.6,48,2.5
SouthCarolina,19.9,1012,11
SouthDakota,13.1,113,3.6
Tennessee,18.4,1270,9.2
Texas,12.7,3683,5.9
Utah,12.8,394,2.6
Vermont,9.3,67,0
Virginia,11.7,1025,5.3
Washington,10.7,842,3.2
WestVirginia,16.6,300,5.7
Wisconsin,10,604,4.2
Wyoming,,,4.4
