"State","legalWeedStatus","medicinalWeedStatus","decriminalizedWeedStatus"
"Alabama","Fully Illegal","",""
"Alaska","Fully Legal","true","true"
"Arizona","Fully Legal","true","true"
"Arkansas","Mixed","true",""
"California","Fully Legal","true","true"
"Colorado","Fully Legal","true","true"
"Connecticut","Mixed","true","true"
"Delaware","Mixed","true","true"
"Florida","Mixed","true",""
"Georgia","Mixed","",""
"Hawaii","Mixed","true","true"
"Idaho","Fully Illegal","",""
"Illinois","Fully Legal","true","true"
"Indiana","Mixed","",""
"Iowa","Mixed","",""
"Kansas","Mixed","true",""
"Kentucky","Mixed","",""
"Louisiana","Mixed","true",""
"Maine","Fully Legal","true","true"
"Maryland","Mixed","true","true"
"Massachusetts","Fully Legal","true","true"
"Michigan","Fully Legal","true","true"
"Minnesota","Mixed","true","true"
"Mississippi","Mixed","true","true"
"Missouri","Mixed","true","true"
"Montana","Fully Legal","true","true"
"Nebraska","Mixed","","true"
"Nevada","Fully Legal","true","true"
"New Hampshire","Mixed","true","true"
"New Jersey","Fully Legal","true","true"
"New Mexico","Mixed","true","true"
"New York","Mixed","true","true"
"North Carolina","Mixed","","true"
"North Dakota","Mixed","true","true"
"Ohio","Mixed","true","true"
"Oklahoma","Mixed","true",""
"Oregon","Fully Legal","true","true"
"Pennsylvania","Mixed","true",""
"Rhode Island","Mixed","true","true"
"South Carolina","Fully Illegal","",""
"South Dakota","Fully Illegal","true","true"
"Tennessee","Fully Illegal","",""
"Texas","Mixed","true",""
"Utah","Mixed","true",""
"Vermont","Fully Legal","true","true"
"Virginia","Fully Legal","true","true"
"Washington","Fully Legal","true","true"
"West Virginia","Mixed","true",""
"Wisconsin","Mixed","",""
"Wyoming","Fully Illegal","",""
