State,Legal Status,Medicinal,Decriminalized
Alabama,Mixed,Yes,No
Alaska,Fully Legal,Yes,Yes
Arizona,Fully Legal,Yes,Yes
Arkansas,Mixed,Yes,No
California,Fully Legal,Yes,Yes
Colorado,Fully Legal,Yes,Yes
Connecticut,Fully Legal,Yes,Yes
Delaware,Mixed,Yes,Yes
District of Columbia,Fully Legal,Yes,Yes
Florida,Mixed,Yes,No
Georgia,Mixed,CBD Oil Only,No
Hawaii,Mixed,Yes,Yes
Idaho,Fully Illegal,No,No
Illinois,Fully Legal,Yes,Yes
Indiana,Mixed,CBD Oil Only,No
Iowa,Mixed,CBD Oil Only,No
Kansas,Fully Illegal,No,No
Kentucky,Mixed,CBD Oil Only,No
Louisiana,Mixed,Yes,Yes
Maine,Fully Legal,Yes,Yes
Maryland,Mixed,Yes,Yes
Massachusetts,Fully Legal,Yes,Yes
Michigan,Fully Legal,Yes,Yes
Minnesota,Mixed,Yes,Yes
Mississippi,Mixed,Yes,Yes
Missouri,Mixed,Yes,Yes
Montana,Fully Legal,Yes,Yes
Nebraska,Fully Illegal,No,Yes
Nevada,Fully Legal,Yes,Yes
New Hampshire,Mixed,Yes,Yes
New Jersey,Fully Legal,Yes,Yes
New Mexico,Fully Legal,Yes,Yes
New York,Fully Legal,Yes,Yes
North Carolina,Fully Illegal,No,Yes
North Dakota,Mixed,Yes,Yes
Ohio,Mixed,Yes,Yes
Oklahoma,Mixed,Yes,No
Oregon,Fully Legal,Yes,Yes
Pennsylvania,Mixed,Yes,No
Rhode Island,Mixed,Yes,Yes
South Carolina,Fully Illegal,No,No
South Dakota,Mixed*,Yes,No
Tennessee,Fully Illegal,No,No
Texas,Mixed,CBD Oil Only,No
Utah,Mixed,Yes,No
Vermont,Fully Legal,Yes,Yes
Virginia,Fully Legal,Yes,Yes
Washington,Fully Legal,YesYes,Yes
West Virginia,Mixed,Yes,No
Wisconsin,Mixed,CBD Oil Only,No
Wyoming,Fully Illegal,No,No
